DK_NAME[시설명],DK_BRIEF_NAME[시설약칭],EVENT_GUBUN[이벤트 분류],EVENT_NAME[이벤트 명],RENT_START_YMD,RENT_END_YMD,DK_DAY,SIN_PERSON,JS_PERSON
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 1월 핸드볼팀 훈련,2016-01-01,2016-01-19,16,570,354
우리금융아트홀 연습실,,문화예술행사,기획대관 나무야나무야(1월),2016-01-01,2016-01-31,31,3151,3151
KSPO DOME(체조경기장),제1체육관,문화예술행사,이승철 팬미팅,2016-01-02,2016-01-05,4,6000,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,2016-01-04,2016-02-29,57,58727,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,2016-01-04,2016-02-29,57,58727,58727
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드,2016-01-04,2016-02-29,57,58727,58727
KSPO DOME(체조경기장),제1체육관,문화예술행사,콘서트 <그날들>,2016-01-06,2016-01-09,4,10500,
핸드볼경기장,핸드볼경기장,문화예술행사,올바른 의료문화를 위한 강연회,2016-01-09,2016-01-09,1,5000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,제5회 가온차트 K-pop Awards,2016-01-10,2016-01-13,4,8000,
핸드볼경기장,핸드볼경기장,문화예술행사,GOT7 ♥ I GOT7 2ND FAN MEETING(갓세븐 팬미팅),2016-01-15,2016-01-17,3,3500,3079
올림픽홀,올림픽홀,문화예술행사,배우 박보검 팬미팅,2016-01-16,2016-01-16,1,3000,
올림픽홀,올림픽홀,대중공연,Mercedes Benz New Year&apos;s Concert 2016,2016-01-21,2016-01-24,4,2200,
핸드볼경기장,핸드볼경기장,체육행사,2016 대학핸드볼선수권대회,2016-01-22,2016-01-26,5,0,
올림픽홀,올림픽홀,대중공연,N.C.T SHOWCASE,2016-01-24,2016-01-25,2,1500,
KSPO DOME(체조경기장),제1체육관,문화예술행사,제25회 서울가요대상,2016-01-24,2016-01-28,5,7000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG(빅뱅) 2016 MADE TOUR IN SEOUL 앵콜 공연,2016-01-25,2016-02-01,8,28000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,iKON 2016 CONCERT,2016-01-25,2016-02-01,8,26000,18135
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG 2016 MADE TOUR IN SEOUL 앵콜공연,2016-01-25,2016-02-01,8,14000,
올림픽홀,올림픽홀,대중공연,2016 에프엑스 f(x) 첫번째 콘서트,2016-01-26,2016-02-01,7,8000,8450
뮤즈라이브,뮤즈라이브,문화예술행사,소울스타 콘서트,2016-01-28,2016-01-31,4,400,620
우리금융아트홀 연습실,,문화예술행사,기획대관 나무야나무야(2월),2016-02-01,2016-02-29,29,3000,156
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 2월 핸드볼팀 훈련,2016-02-02,2016-02-29,20,840,487
핸드볼경기장,핸드볼경기장,문화예술행사,2016 세븐틴 콘서트,2016-02-10,2016-02-10,1,3500,
올림픽홀,올림픽홀,대중공연,2016 홍광호 콘서트,2016-02-10,2016-02-14,5,7500,
핸드볼경기장,핸드볼경기장,문화예술행사,2016 세븐틴 콘서트,2016-02-10,2016-02-15,6,3400,7130
KSPO DOME(체조경기장),제1체육관,문화예술행사,2015-16 브라운아이드소울 전국투어 콘서트 in 서울,2016-02-10,2016-02-15,6,16000,13899
올림픽홀,올림픽홀,대중공연,메르세데스 벤츠(Mercedes Benz) New Year's Concert 2016,2016-02-11,2016-02-13,3,2200,
핸드볼경기장,핸드볼경기장,문화예술행사,미카(MIKA) 내한공연,2016-02-11,2016-02-14,4,4000,
올림픽홀,올림픽홀,대중공연,제5회 가온차트 K-POP 어워드,2016-02-14,2016-02-17,4,4000,2890
핸드볼경기장,핸드볼경기장,문화예술행사,B.A.P LIVE ON EARTH 2016,2016-02-15,2016-02-22,8,7700,5610
KSPO DOME(체조경기장),제1체육관,문화예술행사,인피니트 2nd World Tour INFINITE EFFECT 앵콜,2016-02-15,2016-02-22,8,21000,20028
핸드볼경기장,핸드볼경기장,문화예술행사,미카(MIKA) 내한공연,2016-02-18,2016-02-21,4,4000,
올림픽홀,올림픽홀,대중공연,2016 엠씨더맥스 8집 앨범 발매 기념 콘서트,2016-02-18,2016-02-22,5,5000,5030
뮤즈라이브,뮤즈라이브,문화예술행사,하모니시스트 이예영의 첫 단독콘서트,2016-02-20,2016-02-20,1,237,122
올림픽홀,올림픽홀,대중공연,미카 내한공연 (MIKA Live In Korea),2016-02-22,2016-02-24,3,2900,
핸드볼경기장,핸드볼경기장,문화예술행사,통일한마음문화축제,2016-02-24,2016-02-25,2,0,
KSPO DOME(체조경기장),제1체육관,문화예술행사,god콘서트 앵콜,2016-02-25,2016-02-28,4,10000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,광복 70주년기념 특별 프로젝트 '나라사랑 콘서트',2016-02-25,2016-02-28,4,9000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,216 비스트 콘서트,2016-02-25,2016-02-29,5,13000,
올림픽홀,올림픽홀,대중공연,Have A Nice Day #2,2016-02-26,2016-02-27,,3500,3000
올림픽홀,올림픽홀,대중공연,Have A Nice Day #2 (약자 H.AN.D #2),2016-02-26,2016-02-27,2,3500,
뮤즈라이브,뮤즈라이브,대중공연,Have A Nice Day #2 (약자 H.AN.D #2),2016-02-26,2016-02-27,2,3500,270
핸드볼경기장,핸드볼경기장,체육행사,2016 협회장배 전국킥복싱대회,2016-02-27,2016-02-27,1,600,
핸드볼경기장,핸드볼경기장,문화예술행사,굿뉴스코 페스티벌,2016-02-27,2016-02-28,2,3000,4500
핸드볼경기장,핸드볼경기장,문화예술행사,그래미어워드 노미네이트된 영국 일렉트로닉 뮤지션 DISCLOSURE 의 첫 내한,2016-02-29,2016-03-01,2,3300,
올림픽홀,올림픽홀,대중공연,오케스트라 부에나 비스타 소셜 클럽 고별 월드 투어,2016-02-29,2016-03-01,2,2500,2510
KSPO DOME(체조경기장),제1체육관,문화예술행사,BIGBANG(빅뱅) 2016 MADE TOUR  IN SEOUL 앵콜 공연,2016-02-29,2016-03-08,9,28000,40723
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 3월 핸드볼팀 훈련,2016-03-01,2016-03-30,11,900,243
우리금융아트홀,제3체육관,문화예술행사,나무야나무야(3월),2016-03-01,2016-03-31,31,3000,980
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 다모,2016-03-01,2016-05-31,92,1000,
우리금융아트홀 연습실,,문화예술행사,이영란의 새로운 감성놀이터 나무야나무야,2016-03-01,2016-08-31,184,22188,
우리금융아트홀 연습실,,문화예술행사,모래야놀자,2016-03-01,2016-08-31,184,26000,
올림픽홀,올림픽홀,문화예술행사,KBS드라마촬영,2016-03-03,2016-03-03,1,0,
핸드볼경기장,핸드볼경기장,문화예술행사,터보 20주년 콘서트,2016-03-03,2016-03-07,5,3000,4150
핸드볼경기장,핸드볼경기장,문화예술행사,2016 터보20주년 콘서트,2016-03-03,2016-03-07,5,3500,
올림픽홀,올림픽홀,대중공연,2016 에이셉 라키(ASAP Rocky) 내한공연,2016-03-04,2016-03-05,2,3000,
우리금융아트홀,제3체육관,대중공연,버즈 전국투어 'The Original' 앵콜 콘서트,2016-03-04,2016-03-06,3,2600,1847
KSPO DOME(체조경기장),제1체육관,문화예술행사,위너(WINNER) 2016 콘서트,2016-03-08,2016-03-14,7,13000,14550
올림픽홀,올림픽홀,대중공연,2016 김범수 겟올라잇쇼,2016-03-09,2016-03-13,4,2500,4250
뮤즈라이브,뮤즈라이브,문화예술행사,홍경민의 일곱 번째 톡서트,2016-03-10,2016-03-13,4,1100,731
핸드볼경기장,핸드볼경기장,문화예술행사,에이셉라키 라이브 인 서울 (A$AP ROCKY LIVE IN SEOUL),2016-03-10,2016-03-13,4,5500,
핸드볼경기장,핸드볼경기장,체육행사,성동구 제28회 연합회장기 국민생활체육 배드민턴대회,2016-03-13,2016-03-13,1,600,
KSPO DOME(체조경기장),제1체육관,문화예술행사,EXO(엑소) 2nd World tour EXOluXion 앵콜,2016-03-14,2016-03-21,8,40100,43969
핸드볼경기장,핸드볼경기장,체육행사,제4회 잠스트 트라텍 배드민턴코리아 슈퍼토너먼트,2016-03-18,2016-03-20,3,1000,1000
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 신화 18주년 기념 콘서트,2016-03-21,2016-03-28,8,20000,18487
올림픽홀,올림픽홀,대중공연,아시아M콘서트(M-Count Down with 아시아투데이),2016-03-22,2016-03-24,3,3000,
핸드볼경기장,핸드볼경기장,체육행사,2016 SK텔레콤 2016 서울그랑프리,2016-03-23,2016-03-27,5,1000,1000
우리금융아트홀,제3체육관,대중공연,손호영 팬미팅,2016-03-26,2016-03-26,1,1000,795
우리금융아트홀,제3체육관,대중공연,손호영 팬미팅,2016-03-26,2016-03-26,1,1000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,BLOCK B(블락비) Concert 2016 BLOCKBUSTER,2016-03-29,2016-04-04,7,16000,15502
우리금융아트홀,제3체육관,문화예술행사,나무야나무야(4월),2016-04-01,2016-04-30,30,,133
88호수수변무대,88호수,공공행사,2016 세계자폐인의 날 기념대회,2016-04-02,2016-04-02,1,200,
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 4월 핸드볼팀 훈련,2016-04-04,2016-04-30,21,630,248
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 4월 핸드볼팀 훈련,2016-04-04,2016-04-30,21,630,
핸드볼경기장,핸드볼경기장,문화예술행사,"2016 GOT7 1st CONCERT ""FLY IN SEOUL""",2016-04-06,2016-04-11,6,7500,0
우리금융아트홀,제3체육관,대중공연,판타지쇼! 캐리와 장난감 친구들! (가제),2016-04-07,2016-05-08,32,23000,20504
올림픽홀,올림픽홀,대중공연,톰 존스 (Tom Jones) 내한공연,2016-04-08,2016-04-09,2,3900,
KSPO DOME(체조경기장),제1체육관,공공행사,제20대 국회의원 선거 개표,2016-04-10,2016-04-14,5,1000,670
올림픽홀,올림픽홀,대중공연,SBS두시탈출 컬투쇼 10주년 기념 콘서트<더기부>,2016-04-14,2016-04-15,2,25000,1850
KSPO DOME(체조경기장),제1체육관,체육행사,2016 서울시민생활체육대회,2016-04-15,2016-04-16,2,10000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,WAVE 콘서트,2016-04-15,2016-04-16,2,15000,
올림픽홀,올림픽홀,대중공연,송중기 팬미팅,2016-04-16,2016-04-17,2,4000,
올림픽홀,올림픽홀,대중공연,나이트위시 콘서트 (Nightwish Tour in Seoul 2016),2016-04-16,2016-04-18,3,2700,
88잔디마당,88잔디마당,문화예술행사,Extreme Fire Festival 익스트림 파이어 페스티벌,2016-04-18,2016-04-25,8,21500,
올림픽홀,올림픽홀,문화예술행사,리탐빌국제요가명상페스티벌,2016-04-20,2016-04-20,1,0,
평화의광장,평화의광장,공공행사,지구의 날 기념식 및 걷기대회(가칭),2016-04-22,2016-04-23,2,2000,
핸드볼경기장,핸드볼경기장,문화예술행사,박해진 팬미팅 Asia Tour in Seoul,2016-04-22,2016-04-24,3,4000,2000
핸드볼경기장,핸드볼경기장,문화예술행사,GOT7 1st CONCERT FLY IN SEOUL,2016-04-25,2016-04-30,6,7000,6683
평화의광장,평화의광장,공공행사,나트륨 줄이기 행사(삼삼한 건강 한마당),2016-04-28,2016-04-30,3,3000,2000
올림픽홀,올림픽홀,대중공연,박인희 송창식 콘서트,2016-04-28,2016-04-30,2,2200,2760
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 안드레아 보첼리 내한공연,2016-04-28,2016-05-02,5,8500,6217
핸드볼경기장,핸드볼경기장,문화예술행사,그래미어워드 노미네이트된 영국 일렉트로닉 뮤지션 DISCLOSURE 의 첫 내한,2016-04-29,2016-04-30,2,3300,
핸드볼보조경기장,핸드볼보조경기장,공공행사,제26회 송파구청장기 생활체육 배드민턴대회,2016-05-01,2016-05-01,1,1160,1000
올림픽홀,올림픽홀,대중공연,2016 쎄시봉친구들 콘서트,2016-05-01,2016-05-01,1,2500,2210
우리금융아트홀 연습실,,문화예술행사,나무야나무야(5월),2016-05-01,2016-05-31,,,1681
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 5월 핸드볼팀 훈련,2016-05-01,2016-05-31,23,840,466
뮤즈라이브,뮤즈라이브,문화예술행사,벅스 라이브 vol.16,2016-05-02,2016-05-02,1,220,180
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 BTS LIVE (가제),2016-05-02,2016-05-09,8,15500,23885
올림픽홀,올림픽홀,순수예술공연,별이 빛나는 밤에,2016-05-04,2016-05-15,12,5500,4777
핸드볼경기장,핸드볼경기장,체육행사,제5회 일요신문배 전국어린이바둑대회,2016-05-05,2016-05-05,1,800,1500
우리금융아트홀,제3체육관,문화예술행사,션윈 2016 월드투어,2016-05-09,2016-05-10,2,1184,
우리금융아트홀,제3체육관,문화예술행사,션윈 2016 월드투어,2016-05-09,2016-05-10,2,1000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,Korea Time World Festival,2016-05-09,2016-05-15,7,7000,
88잔디마당,88잔디마당,문화예술행사,뷰티풀 민트 라이프 2016,2016-05-10,2016-05-16,7,5000,11000
한얼광장,한얼광장,문화예술행사,뷰티풀 민트 라이프 2016,2016-05-10,2016-05-16,7,5000,0
피크닉광장,피크닉광장,공공행사,방산중학교 건강달리기 대회,2016-05-11,2016-05-11,1,170,170
88호수수변무대,88호수,문화예술행사,뷰티풀 민트 라이프 2016,2016-05-11,2016-05-16,6,5000,1554
평화의광장,평화의광장,공공행사,제6회 청소년 자원봉사 페스티벌,2016-05-13,2016-05-14,2,3000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,올리비아 뉴튼존 내한공연,2016-05-13,2016-05-14,2,5000,2433
핸드볼경기장,핸드볼경기장,체육행사,제12회 한국체육대학교총장배 전국태권도대회,2016-05-18,2016-05-20,3,800,1200
KSPO DOME(체조경기장),제1체육관,문화예술행사,러쉬 냄새나는 콘서트 5,2016-05-18,2016-05-22,5,10000,
평화의광장,평화의광장,공공행사,제1회 아동청소년 놀자 문화페스티벌,2016-05-20,2016-05-21,2,800,1000
올림픽홀,올림픽홀,대중공연,2016 B1A4 팬미팅,2016-05-20,2016-05-21,2,2700,
88호수수변무대,88호수,문화예술행사,2016 서울신록사진촬영대회,2016-05-21,2016-05-21,1,500,500
핸드볼경기장,핸드볼경기장,체육행사,제5회 전국민참여 독도사랑배드민턴대회,2016-05-21,2016-05-22,2,3000,1000
핸드볼경기장,핸드볼경기장,공공행사,제28회 강동구청장기 생활체육 배드민턴대회,2016-05-22,2016-05-22,1,0,
88잔디마당,88잔디마당,문화예술행사,제10회 서울재즈페스티벌(Seoul Jazz Festival) 2016,2016-05-22,2016-05-30,9,35000,14523
KSPO DOME(체조경기장),제1체육관,문화예술행사,제10회 서울재즈페스티벌(Seoul Jazz Festival) 2016,2016-05-23,2016-05-30,8,35000,12000
한얼광장,한얼광장,문화예술행사,제10회 서울재즈페스티벌(Seoul Jazz Festival) 2016,2016-05-23,2016-05-30,8,35000,0
우리금융아트홀,제3체육관,대중공연,2016 레이첼 야마가타 내한공연,2016-05-24,2016-05-24,1,1000,976
뮤즈라이브,뮤즈라이브,문화예술행사,뮤즈 앤 재즈 라이브(Muse & Jazz Live) Vol.1,2016-05-24,2016-05-25,2,200,161
핸드볼경기장,핸드볼경기장,문화예술행사,제10회 서울재즈페스티벌(Seoul Jazz Festival) 2016,2016-05-24,2016-05-30,7,35000,8000
88호수수변무대,88호수,문화예술행사,제10회 서울재즈페스티벌(Seoul Jazz Festival) 2016,2016-05-25,2016-05-30,6,35000,2000
뮤즈라이브,뮤즈라이브,문화예술행사,서울재즈페스티벌2016-팻 메시니 연습대관,2016-05-27,2016-05-27,1,0,15
우리금융아트홀,제3체육관,대중공연,2016 김경호 전국투어 콘서트 - 서울,2016-05-27,2016-05-28,2,2000,1818
올림픽홀,올림픽홀,대중공연,2016 김경호 전국투어 콘서트 - 서울,2016-05-27,2016-05-28,2,4000,
평화의광장,평화의광장,공공행사,2016 전국생활체육대축전 폐회식,2016-05-28,2016-05-29,2,2000,800
올림픽홀,올림픽홀,대중공연,2016 B1A4 팬미팅,2016-05-29,2016-05-29,1,2000,2548
88호수수변무대,88호수,문화예술행사,송파여성문화회관 손창수 노래교실 야외수업 행사,2016-05-31,2016-05-31,1,1000,1000
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 6월 핸드볼팀 훈련,2016-06-01,2016-06-30,18,540,392
우리금융아트홀,제3체육관,문화예술행사,나무야나무야(6월),2016-06-01,2016-06-30,,,1995
뮤즈라이브,뮤즈라이브,문화예술행사,2016년 뮤즈라이브 대중음악공연 프로젝트 대관,2016-06-01,2016-12-31,,,1732
올림픽홀,올림픽홀,대중공연,가) 2016 롯데면세점 황치열 콘서트,2016-06-02,2016-06-03,2,0,1910
올림픽홀,올림픽홀,대중공연,가) 2016 롯데면세점 황치열 콘서트,2016-06-03,2016-06-04,2,0,
88호수수변무대,88호수,문화예술행사,2016 버즈 콘서트 '소풍가자',2016-06-03,2016-06-06,4,2000,1702
올림픽홀,올림픽홀,문화예술행사,뷰티풀 민트 라이프 2016 보상공연 (가칭),2016-06-04,2016-06-06,3,4000,4490
핸드볼보조경기장,핸드볼보조경기장,공공행사,제28회 강동구청장기 생활체육 배드민턴대회,2016-06-05,2016-06-05,1,0,700
올림픽홀,올림픽홀,대중공연,2016 데이빗 가렛 내한공연(David Garrett Live in Korea),2016-06-05,2016-06-06,2,2500,
핸드볼경기장,핸드볼경기장,체육행사,잠실중앙교회 일반 가족친선 체육대회,2016-06-06,2016-06-06,1,500,
올림픽홀,올림픽홀,대중공연,EXO 컴백 쇼케이스,2016-06-07,2016-06-08,2,2000,2162
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 뮤즈인시티 페스티벌,2016-06-07,2016-06-13,7,9500,
뮤즈라이브,뮤즈라이브,문화예술행사,2016 K-루키즈 기획공연 콘셉트공연,2016-06-10,2016-06-10,1,0,
88호수수변무대,88호수,공공행사,제25회 오리엔티어링 대회,2016-06-11,2016-06-11,1,650,650
올림픽홀,올림픽홀,대중공연,KDB대우증권 우수고객 초청공연,2016-06-11,2016-06-12,2,2700,1990
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 빅스(VIXX)와 함께하는 팬미팅,2016-06-14,2016-06-20,7,20500,8053
올림픽홀,올림픽홀,대중공연,어반자카파 미니앨범 발매기념 단독콘서트,2016-06-16,2016-06-19,3,2100,5360
올림픽홀,올림픽홀,대중공연,뮤지컬 배우 박은태 데뷔 10주년 기념 콘서트,2016-06-17,2016-06-18,2,25500,
올림픽홀,올림픽홀,대중공연,백지영 콘서트,2016-06-17,2016-06-18,2,2000,
우리금융아트홀,제3체육관,체육행사,2016년 제68회 Mr. & 제11회 Ms. Korea 선발대회,2016-06-17,2016-06-19,3,1800,1184
우리금융아트홀,제3체육관,문화예술행사,션윈(Shen Yun),2016-06-20,2016-06-26,7,800,
KSPO DOME(체조경기장),제1체육관,문화예술행사,젝스키스 콘서트,2016-06-20,2016-06-26,7,12000,
평화의광장,평화의광장,공공행사,6.25 기념 통일대합창,2016-06-21,2016-06-22,2,625,
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 MC몽 단독콘서트,2016-06-22,2016-06-26,5,20000,
올림픽홀,올림픽홀,문화예술행사,2016 바이브 콘서트,2016-06-23,2016-06-26,4,5000,4009
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 이승철 데뷔 30주년 기념 콘서트 <무궁화 삼천리>,2016-06-27,2016-07-03,7,24000,17554
뮤즈라이브,뮤즈라이브,문화예술행사,뮤즈 앤 재즈 라이브(Muse & Jazz Live) Vol.2,2016-06-28,2016-06-29,,,170
핸드볼경기장,핸드볼경기장,문화예술행사,2016 장근석 팬미팅(JKS LIVE IN SEOUL),2016-06-29,2016-07-03,5,3100,1493
우리금융아트홀,제3체육관,문화예술행사,나무야나무야(7월),2016-07-01,2016-07-31,,,2741
핸드볼경기장,핸드볼경기장,체육행사,제16회 한화생명배 세계어린이국수전 바둑대회 서울지역예선,2016-07-03,2016-07-03,1,800,850
우리금융아트홀,제3체육관,대중공연,TWICE SPECIAL EVENT 2,2016-07-03,2016-07-03,1,999,877
우리금융아트홀,제3체육관,문화예술행사,모짜르트 포에버,2016-07-04,2016-07-07,,,711
뮤즈라이브,뮤즈라이브,문화예술행사,벅스TV vol.18 ？ 백예린,2016-07-06,2016-07-06,1,220,196
올림픽홀,올림픽홀,대중공연,소녀시대 태연 솔로 콘서트,2016-07-06,2016-07-10,5,2200,5400
KSPO DOME(체조경기장),제1체육관,문화예술행사,KB국민콘서트,2016-07-06,2016-07-10,5,8000,6000
핸드볼경기장,핸드볼경기장,체육행사,제29회 한국사회인검도대회,2016-07-08,2016-07-10,3,1350,1350
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드 앵콜공연,2016-07-11,2016-08-21,,,
우리금융아트홀,제3체육관,대중공연,뮤지컬 터닝메카드 앵콜공연,2016-07-11,2016-08-21,42,700,
우리금융아트홀,제3체육관,문화예술행사,뮤지컬 터닝메카드 앵콜,2016-07-11,2016-08-21,,,
KSPO DOME(체조경기장),제1체육관,문화예술행사,EXO Planet 3 EXOrdium,2016-07-13,2016-08-01,20,13184,84816
올림픽홀,올림픽홀,대중공연,Jose Feliciano 내한 콘서트,2016-07-15,2016-07-17,3,3154,4480
올림픽홀,올림픽홀,대중공연,2016 벡(Beck) 내한공연,2016-07-20,2016-07-21,2,5000,2100
평화의광장,평화의광장,공공행사,2016 청소년봉사동아리 연합축제 루리잔치,2016-07-23,2016-07-23,1,1000,
올림픽홀,올림픽홀,대중공연,2016 사라브라이트만 내한공연,2016-07-23,2016-07-24,2,2800,2467
핸드볼경기장,핸드볼경기장,체육행사,2016문화체육관광부장관배 전국학생바둑대회,2016-07-23,2016-07-24,2,600,870
평화의광장,평화의광장,공공행사,2016 서울국제유스양궁페스타대회,2016-07-24,2016-07-26,3,1000,500
핸드볼보조경기장,핸드볼보조경기장,체육행사,2016년 7월 핸드볼팀 훈련,2016-07-25,2016-07-29,5,,110
뮤즈라이브,뮤즈라이브,문화예술행사,피아니스트 박종훈과의 화려한 데이트 Vol.1,2016-07-26,2016-07-27,,,140
핸드볼경기장,핸드볼경기장,문화예술행사,꽃미남 브로 밴드 콘서트,2016-07-29,2016-07-30,2,2500,
핸드볼경기장,핸드볼경기장,체육행사,제13회 회장배 댄스스포츠 선수권대회,2016-07-30,2016-07-31,2,500,610
우리금융아트홀,제3체육관,문화예술행사,나무야나무야(8월),2016-08-01,2016-08-31,31,,2658
핸드볼보조경기장,핸드볼보조경기장,체육행사,핸드볼 8월 훈련,2016-08-01,2016-08-31,,,315
촬영,촬영,공공행사,더케이 광고촬영,2016-08-02,2016-08-02,1,0,40
올림픽홀,올림픽홀,대중공연,치펜데일쇼 서울공연,2016-08-02,2016-08-08,8,2000,3282
핸드볼경기장,핸드볼경기장,문화예술행사,B.A.P LIVE ON EARTH 2016 WORLDTOUR SEOUL ENCORE,2016-08-02,2016-08-08,6,8800,5054
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 김연우 콘서트,2016-08-03,2016-08-06,4,10000,5543
KSPO DOME(체조경기장),제1체육관,문화예술행사,에이-스타 드림콘박 ( 콘서트),2016-08-04,2016-08-07,4,20000,
KSPO DOME(체조경기장),제1체육관,문화예술행사,에이-스타드림 콘박,2016-08-04,2016-08-07,4,15000,
뮤즈라이브,뮤즈라이브,문화예술행사,B.A.P LIVE ON EARTH WORLD TOUR 앵콜 기자회견,2016-08-07,2016-08-07,1,200,
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 빅스 콘서트 (VIXX LIVE FANTASIA),2016-08-08,2016-08-15,8,18500,16619
88호수수변무대,88호수,문화예술행사,서울소울페스티벌 2016 (seoul soul festival2016),2016-08-10,2016-08-14,5,20000,
올림픽홀,올림픽홀,대중공연,2016 마마무 첫번째 콘서트,2016-08-10,2016-08-14,5,5000,6215
핸드볼경기장,핸드볼경기장,문화예술행사,2016 3rd APINK CONCERT <에이핑크 콘서트>,2016-08-10,2016-08-15,6,8000,
뮤즈라이브,뮤즈라이브,문화예술행사,마마무 첫번째 콘서트 기자회견,2016-08-13,2016-08-13,1,200,
핸드볼경기장,핸드볼경기장,문화예술행사,FAKE VIRGIN MUSIC FESTIVAL,2016-08-14,2016-08-15,2,3300,
올림픽홀,올림픽홀,대중공연,맥스웰 단독콘서트,2016-08-16,2016-08-16,1,2500,1900
KSPO DOME(체조경기장),제1체육관,문화예술행사,2016 비스트 콘서트 뷰티풀쇼,2016-08-16,2016-08-22,7,10000,18699
뮤즈라이브,뮤즈라이브,문화예술행사,준케이(2PM) &LIVE 3회,2016-08-17,2016-08-17,1,200,167
올림픽홀,올림픽홀,대중공연,2016 쇼미더머니5 콘서트,2016-08-17,2016-08-20,4,3250,11188
핸드볼경기장,핸드볼경기장,문화예술행사,쏜애플 콘서트,2016-08-18,2016-08-21,4,4000,
88호수수변무대,88호수,문화예술행사,2016 스윗소로우 여름 콘서트 “썸머스윗”,2016-08-18,2016-08-21,4,1966,1901
핸드볼경기장,핸드볼경기장,문화예술행사,서울 소울 페스티벌2016 (SSF2016),2016-08-18,2016-08-21,4,15000,
핸드볼경기장,핸드볼경기장,체육행사,제12회 (사)스페셜올림픽코리아 전국하계대회,2016-08-23,2016-08-23,1,3500,
KSPO DOME(체조경기장),제1체육관,문화예술행사,샤이니 콘서트 - 샤이니월드 5,2016-08-28,2016-09-05,9,16000,28679
우리금융아트홀,제3체육관,문화예술행사,박정자 뮤직모놀로그,2016-08-30,2016-08-31,,,564
88잔디마당,88잔디마당,문화예술행사,2016 크레디아 파크콘서트,2016-08-30,2016-09-05,7,12000,10329
올림픽홀,올림픽홀,대중공연,2016 이선희 라이브 콘서트,2016-08-31,2016-09-04,5,7000,
핸드볼경기장,핸드볼경기장,문화예술행사,2016 안테나 레이블 콘서트,2016-08-31,2016-09-05,6,5000,
우리금융아트홀,제3체육관,문화예술행사,안은미 안심댄스,2016-09-01,2016-09-11,,,1792
핸드볼보조경기장,핸드볼보조경기장,체육행사,핸드볼협회 9월 팀훈련,2016-09-01,2016-09-30,,,390
우리금융아트홀 연습실,,문화예술행사,모래야 놀자,2016-09-01,2017-02-28,181,43350,1588
평화의광장,평화의광장,공공행사,2016 재능나눔 페스티벌,2016-09-02,2016-09-03,2,0,3250
뮤즈라이브,뮤즈라이브,문화예술행사,바이툴밴드 제5회 정기공연,2016-09-03,2016-09-03,1,200,120
KSPO DOME(체조경기장),제1체육관,문화예술행사,젝스키스 2016 콘서트(가제),2016-09-05,2016-09-12,8,17000,20457
핸드볼경기장,핸드볼경기장,문화예술행사,2016 희망에코 자선콘서트,2016-09-08,2016-09-10,3,3000,
핸드볼보조경기장,핸드볼보조경기장,공공행사,제26회 송파구연합회장기 생활체육 배드민턴대회,2016-09-10,2016-09-10,1,,700
88호수수변무대,88호수,문화예술행사,한여름밤의 클라리넷 향연,2016-09-10,2016-09-10,1,30,30
뮤즈라이브,뮤즈라이브,대중공연,한일 아이돌 서미트,2016-09-10,2016-09-10,,,170
뮤즈라이브,뮤즈라이브,대중공연,"한, 일 아이돌 서미트",2016-09-10,2016-09-10,,200,
핸드볼경기장,핸드볼경기장,체육행사,송파구연합회장기 생활체육배드민턴대회,2016-09-10,2016-09-10,1,0,700
88호수수변무대,88호수,문화예술행사,제7회 대한민국 국제관악제,2016-09-10,2016-09-11,2,1000,
